Temparature,Humidity ,Moisture,Name,Ctype,Stype,Potassium,Phosphorous,Nitrogen
26,52,38,Urea,Maize,Sandy,0,0,37
29,52,45,DAP,Sugarcane,Loamy,0,36,12
34,65,62,14-35-14,Cotton,Black,9,30,7
32,62,34,28-28,Tobacco,Red,0,20,22
28,54,46,Urea,Paddy,Clayey,0,0,35
26,52,35,17-17-17,Barley,Sandy,10,13,12
25,50,64,20-20,Cotton,Red,0,10,9
33,64,50,Urea,Wheat,Loamy,0,0,41
30,60,42,28-28,Millets,Sandy,0,18,21
29,58,33,14-35-14,Oil seeds,Black,7,30,9
27,54,28,DAP,Pulses,Clayey,0,40,13
31,62,48,17-17-17,Maize,Sandy,15,12,14
25,50,65,Urea,Cotton,Loamy,0,0,36
32,62,41,28-28,Paddy,Clayey,0,22,24
26,52,31,DAP,Ground Nuts,Red,0,41,14
31,62,49,17-17-17,Sugarcane,Black,13,14,10
33,64,34,Urea,Pulses,Clayey,0,0,38
25,50,39,28-28,Barley,Sandy,0,19,21
28,54,65,Urea,Cotton,Black,0,0,39
29,58,52,DAP,Wheat,Loamy,0,36,13
30,60,44,20-20,Millets,Sandy,0,9,10
34,65,53,17-17-17,Sugarcane,Loamy,14,12,12
35,68,33,DAP,Tobacco,Red,0,37,11
28,54,37,Urea,Millets,Black,0,0,36
33,64,39,20-20,Paddy,Clayey,0,10,13
26,52,44,28-28,Maize,Sandy,0,20,23
30,60,63,14-35-14,Cotton,Red,9,29,9
32,62,30,Urea,Sugarcane,Loamy,0,0,38
37,70,32,DAP,Oil seeds,Black,0,39,12
26,52,36,20-20,Pulses,Clayey,0,13,14
29,58,40,28-28,Ground Nuts,Red,0,23,24
30,60,27,DAP,Sugarcane,Loamy,0,40,12
34,65,38,Urea,Paddy,Clayey,0,0,39
36,68,38,14-35-14,Barley,Sandy,9,30,7
26,52,48,28-28,Wheat,Loamy,0,19,23
28,54,35,Urea,Millets,Black,0,0,41
30,60,61,14-35-14,Cotton,Loamy,10,31,8
37,70,37,DAP,Paddy,Clayey,0,41,12
25,50,26,17-17-17,Ground Nuts,Red,14,11,15
29,58,34,DAP,Millets,Sandy,0,37,15
27,54,30,20-20,Pulses,Clayey,0,13,13
30,60,58,14-35-14,Sugarcane,Loamy,7,32,10
32,62,34,28-28,Tobacco,Red,0,24,22
34,65,60,Urea,Sugarcane,Black,0,0,35
35,67,42,DAP,Barley,Sandy,0,35,10
38,70,48,14-35-14,Wheat,Loamy,8,28,8
26,52,32,20-20,Oil seeds,Black,0,8,12
29,58,43,28-28,Paddy,Clayey,0,18,24
30,60,29,Urea,Ground Nuts,Red,0,0,41
33,64,51,14-35-14,Maize,Sandy,9,29,5
34,65,31,28-28,Tobacco,Red,0,21,23
36,68,33,20-20,Oil seeds,Black,0,14,13
28,54,38,Urea,Pulses,Clayey,0,0,40
30,60,47,DAP,Barley,Sandy,0,42,12
31,62,63,17-17-17,Cotton,Red,12,15,11
27,53,43,28-28,Millets,Black,0,24,23
34,65,54,Urea,Wheat,Loamy,0,0,38
29,58,37,20-20,Millets,Sandy,0,15,8
25,50,56,17-17-17,Sugarcane,Loamy,13,15,11
32,62,34,DAP,Ground Nuts,Red,0,37,15
28,54,41,Urea,Paddy,Clayey,0,0,36
30,60,49,20-20,Wheat,Loamy,0,9,13
34,65,64,28-28,Cotton,Black,0,20,24
28,54,47,,Barley,Sandy,18,15,5
27,53,35,Urea,Oil seeds,Black,0,0,37
36,68,62,DAP,Cotton,Red,0,40,15
34,65,57,20-20,Sugarcane,Black,0,13,9
29,58,55,14-35-14,Sugarcane,Loamy,8,33,8
25,50,40,,Pulses,Clayey,19,16,6
30,60,38,20-20,Millets,Sandy,0,14,10
26,52,39,28-28,Pulses,Clayey,0,23,21
31,62,32,Urea,Tobacco,Red,0,0,39
34,65,48,28-28,Wheat,Loamy,0,19,23
27,53,34,Urea,Oil seeds,Black,0,0,42
33,64,31,DAP,Ground Nuts,Red,0,39,13
29,58,42,14-35-14,Paddy,Clayey,10,22,9
30,60,47,28-28,Maize,Sandy,0,21,22
27,53,59,20-20,Sugarcane,Loamy,0,15,10
26,52,36,,Pulses,Clayey,16,20,7
34,65,63,DAP,Cotton,Red,0,38,14
28,54,43,14-35-14,Paddy,Clayey,8,29,10
30,60,40,Urea,Millets,Sandy,0,0,41
29,58,65,DAP,Cotton,Black,0,35,14
26,52,59,20-20,Sugarcane,Loamy,0,9,11
31,62,44,28-28,Barley,Sandy,0,28,21
35,67,28,14-35-14,Pulses,Clayey,7,31,8
29,58,30,,Tobacco,Red,17,16,13
27,53,30,Urea,Millets,Black,0,0,35
36,68,50,,Wheat,Loamy,18,19,12
29,58,61,DAP,Cotton,Loamy,0,38,11
30,60,26,14-35-14,Oil seeds,Black,9,30,8
34,65,45,,Paddy,Clayey,19,21,6
36,68,41,Urea,Ground Nuts,Red,0,0,41
28,54,25,14-35-14,Maize,Sandy,10,30,9
25,50,32,28-28,Pulses,Clayey,0,19,24
30,60,27,,Tobacco,Red,17,17,4
38,72,51,Urea,Wheat,Loamy,0,0,39
36,60,43,DAP,Millets,Sandy,0,41,15
29,58,57,20-20,Sugarcane,Black,0,10,12
